Place  Score  Term
1      509      Sam Altman
2      291      Dr Victor Chang
3      218      England football
4      196      Matt Canada
5      193      Warriors
6      185      Media Matters
7      185      David Letterman
8      184      India vs Qatar
9      171      Benjamin Mendy
10     164      North Macedonia vs England
11     162      Vogue
12     159      Beavercreek Ohio
13     158      Sheetz gas prices
14     157      Marquette basketball
15     155      Ukraine vs Italy
16     151      Travis Kelce
17     150      Joe Flacco
18     149      Hulu Black Friday
19     148      Maui Invitational
20     147      Kelce brothers
21     146      MSFT
22     145      Purdue basketball
23     144      Brock Purdy
24     144      Stephen Curry
25     143      Bruins
26     142      Syracuse basketball
27     141      SBI PO Result
28     140      SBI PO Prelims Result
29     139      TCS share price
30     138      Dr. SS Badrinath Sankara Nethralaya
31     137      T20 IND vs AUS
32     136      ADHD
33     134      Uttarkashi Tunnel Collapse
34     133      IB ACIO
35     132      Supreme Court
36     131      IB ACIO notification
37     130      Legend League Cricket
38     129      Cricket T20
39     128      Vir Das
40     127      Beyonce
41     127      Chiefs vs Eagles
42     125      Tata Technologies IPO
43     124      India vs Australia T20 series 2023
44     123      IREDA IPO GMP
45     122      GST
46     121      Warriors vs Rockets
47     120      Spurs vs Clippers
48     120      Javier Milei
49     119      Hornets vs Celtics
50     118      Thanksgiving 2023
51     117      What's Wrong With Secretary Kim
52     116      Pistons vs Nuggets
53     115      Wizards vs Bucks
54     114      Golden State Warriors
55     112      Thanksgiving
56     110      Maya
57     109      Klay Thompson
58     107      Menstrual cycle
59     106      FIGS
60     105      Lakers vs Rockets
61     104      Avascular necrosis
62     103      Jazz vs Suns
63     102      Earthquake
64     101      Davido
65     101      Gavi
66     100      Victony Ohema
67     99       Palestine vs Australia
68     97       Comoros vs Ghana
69     97       Matt Rife
70     96       Joao Neves
71     94       Rich Paul
72     91       Brazil vs Argentina
73     90       England FC
74     89       Jimmy Carter
75     88       Alzheimer's disease
76     87       Chris Alli
77     86       Balloranking
78     85       Northern Ireland vs Denmark
79     84       Nicaragua
80     83       Lukaku
81     82       Zimbabwe vs Nigeria
82     79       Northern Ireland Football
83     78       Freddie Flintoff
84     75       Banksy
85     74       Nicola Bulley
86     73       San Marino
87     73       England
88     72       Pink
89     71       Prostate cancer screening trial
90     67       Suki Waterhouse
91     64       Channel 4
92     63       Represent
93     61       Promi Big Brother
94     59       Jan Ullrich
95     58       Österreich Deutschland
96     57       Die Kaiserin
97     56       Alligatoah
98     55       Bayer-Aktie
99     53       Kurschus
100    52       Haushaltssperre
101    51       Real Märkte
102    50       Thomas Müller
103    49       Volkstrauertag
104    48       OpenAI
105    47       Deutschland Türkei
106    46       Deutschland gegen Türkei
107    45       Formel 1
108    44       Erdogan
109    43       SpaceX
110    42       Starship
111    41       Canucks
112    38       Boston Bruins
113    37       Flames
114    36       Quinn Hughes
115    34       Davis Cup
116    32       Davis Cup 2023
117    28       Pastor
118    27       Eagles vs Chiefs
119    25       Raptors
120    24       Greve
121    23       PowerSchool
122    22       Calvin Pickard
123    21       Socceroos
124    18       Archer Reid
125    13       Prince Edward
126    12       Jamie Lynn Spears
127    11       Ted Hopkins
128    10       Western Power
129    7        The Rock
130    6        Nikola Jokic
131    5        My Mum Your Dad who is still together
132    3        The Italian Job
133    2        Optus CEO
