Place  Score  Term
1      447      Wolves vs Man City
2      388      USDT
3      341      Our Father Netflix
4      277      Arsenal
5      258      Black hole
6      233      Tottenham vs Arsenal
7      227      Celtics vs Bucks
8      218      Trevor Strnad
9      215      Bitcoin
10     203      The Northman
11     200      Finland
12     186      Pixel 6a
13     157      Celtics
14     156      Warriors
15     155      Suns
16     153      Pittsburgh Penguins
17     151      Inflation
18     151      Operation Mincemeat
19     150      Florida Panthers
20     149      Laguna Niguel
21     148      Leicester City vs Norwich City
22     147      Chelsea
23     146      St. Louis Blues
24     145      Megan Thee Stallion
25     143      Sarkaru Vaari Paata
26     142      Mike Tyson
27     141      LIC IPO allotment date
28     139      Tristan Stubbs
29     138      SSLC result 2022
30     136      Juventus Vs Inter
31     135      Bse.telangana
32     134      CGBSE 12th Result 2022
33     131      Gyanvapi Masjid
34     131      Grizzlies vs Warriors
35     130      BSE
36     129      Pooja Singhal
37     128      Shah Rukh Khan
38     127      Jasprit Bumrah
39     126      Diploma results 2022
40     126      Frenkie de Jong
41     125      Moto Edge 30
42     124      Mahindra Scorpio 2022
43     123      Ishan Kishan
44     122      Mohini Ekadashi
45     121      Everything Everywhere All at Once
46     120      Stockholm Major
47     119      The Witch Part 2
48     116      ROTC
49     115      Civil Engineering Board Exam 2022
50     113      Andrea
51     112      Friday the 13th
52     111      Fantastic Beasts
53     109      COD Mobile Season 5
54     108      Lupus
55     106      Vic Rodriguez
56     105      Ateneo
57     104      Red and green
58     103      Trojan Horse
59     103      Leeds United vs Chelsea
60     102      Shireen Abu Akleh
61     99       Adamu Garba
62     98       Blasphemy
63     97       Check Jamb Results
64     96       Garnacho
65     95       Nkechi Blessing
66     94       Education Minister resigns
67     92       Juventus vs Inter
68     91       Jonathan joins APC
69     85       Luna coin
70     84       LaLiga
71     83       Watford vs Everton
72     82       Epl
73     81       Celtic
74     80       Chicken products recalled
75     79       Levi Bellfield
76     78       Ted Hankey
77     77       Rich Paul
78     76       Andrew Bennett Gogglebox
79     74       International Nurses Day
80     73       Madonna
81     72       Ewan McGregor
82     71       Chelsea FC
83     71       Zara Phythian
84     69       Leeds United
85     68       Bitcoin price
86     66       Adidas sports bras bare breasts Ad
87     64       Everton
88     60       Finnland
89     59       Lewandowski
90     58       Essen
91     57       Arno Dübel
92     56       Schwarzes Loch
93     55       Aktenzeichen XY
94     54       Christian Lindner
95     52       Krypto news
96     50       Pogba
97     49       Btc
98     48       Hanau
99     47       Coppa Italia
100    46       Borussia Mönchengladbach
101    45       Russland Ukraine-Krieg
102    44       Ruja Ignatova
103    43       Maskenpflicht Flugzeug
104    42       THW Kiel
105    41       Calgary Flames
106    40       Warriors vs Grizzlies
107    38       Jagmeet Singh
108    37       Pierre Poilievre
109    35       Maripier Morin
110    34       NFL schedule
111    33       Flames game tonight
112    32       Disney stock
113    30       CSK vs MI
114    28       Ellen Barkin
115    27       Hay River
116    25       Putin news
117    24       Selma Blair
118    23       Claude Bernatchez
119    22       Oilers
120    21       Lakers
121    20       Paul Kent
122    19       Greg Norman
123    17       International Nurses Day 2022!
124    11       Leon Cameron
125    10       BTC
126    9        South Yarra fire
127    6        THE DROVER'S WIFE
